InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Unnamed: 8,UserID
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2025 8:26,509.99999999999994,17850.0,Pakistan,,U0001
536365,71053,WHITE METAL LANTERN,6,12/1/2025 8:26,678.0,17850.0,Pakistan,,U0002
536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,12/1/2025 8:26,550.0,17850.0,Pakistan,,U0003
536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/1/2025 8:26,678.0,17850.0,Pakistan,,U0004
536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/1/2025 8:26,678.0,17850.0,Pakistan,,U0005
536365,22752,SET 7 BABUSHKA NESTING BOXES,2,12/1/2025 8:26,1530.0,17850.0,Pakistan,,U0006
536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/1/2025 8:26,850.0,17850.0,Pakistan,,U0007
536366,22633,HAND WARMER UNION JACK,6,12/1/2025 8:28,370.0,17850.0,Pakistan,,U0008
536366,22632,HAND WARMER RED POLKA DOT,6,12/1/2025 8:28,370.0,17850.0,Pakistan,,U0009
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,12/1/2025 8:34,338.0,13047.0,Pakistan,,U0010
536367,22745,POPPY'S PLAYHOUSE BEDROOM ,6,12/1/2025 8:34,420.0,13047.0,Pakistan,,U0011
536367,22748,POPPY'S PLAYHOUSE KITCHEN,6,12/1/2025 8:34,420.0,13047.0,Pakistan,,U0012
536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,12/1/2025 8:34,750.0,13047.0,Pakistan,,U0013
536367,22310,IVORY KNITTED MUG COSY ,6,12/1/2025 8:34,330.0,13047.0,Pakistan,,U0014
536367,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,12/1/2025 8:34,850.0,13047.0,Pakistan,,U0015
536367,22623,BOX OF VINTAGE JIGSAW BLOCKS ,3,12/1/2025 8:34,990.0,13047.0,Pakistan,,U0016
536367,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,12/1/2025 8:34,1989.9999999999998,13047.0,Pakistan,,U0017
536367,21754,HOME BUILDING BLOCK WORD,3,12/1/2025 8:34,1190.0,13047.0,Pakistan,,U0018
536367,21755,LOVE BUILDING BLOCK WORD,3,12/1/2025 8:34,1190.0,13047.0,Pakistan,,U0019
536367,21777,RECIPE BOX WITH METAL HEART,4,12/1/2025 8:34,1590.0,13047.0,Pakistan,,U0020
536367,48187,DOORMAT NEW ENGLAND,4,12/1/2025 8:34,1590.0,13047.0,Pakistan,,U0021
536368,22960,JAM MAKING SET WITH JARS,6,12/1/2025 8:34,850.0,13047.0,Pakistan,,U0022
536368,22913,RED COAT RACK PARIS FASHION,3,12/1/2025 8:34,990.0,13047.0,Pakistan,,U0023
536368,22912,YELLOW COAT RACK PARIS FASHION,3,12/1/2025 8:34,990.0,13047.0,Pakistan,,U0024
536368,22914,BLUE COAT RACK PARIS FASHION,3,12/1/2025 8:34,990.0,13047.0,Pakistan,,U0025
536369,21756,BATH BUILDING BLOCK WORD,3,12/1/2025 8:35,1190.0,13047.0,Pakistan,,U0026
536370,22728,ALARM CLOCK BAKELIKE PINK,24,12/1/2025 8:45,750.0,12583.0,Pakistan,,U0027
536370,22727,ALARM CLOCK BAKELIKE RED ,24,12/1/2025 8:45,750.0,12583.0,Pakistan,,U0028
536370,22726,ALARM CLOCK BAKELIKE GREEN,12,12/1/2025 8:45,750.0,12583.0,Pakistan,,U0029
536370,21724,PANDA AND BUNNIES STICKER SHEET,12,12/1/2025 8:45,170.0,12583.0,Pakistan,,U0030
536370,21883,STARS GIFT TAPE ,24,12/1/2025 8:45,130.0,12583.0,Pakistan,,U0031
536370,10002,INFLATABLE POLITICAL GLOBE ,48,12/1/2025 8:45,170.0,12583.0,Pakistan,,U0032
536370,21791,VINTAGE HEADS AND TAILS CARD GAME ,24,12/1/2025 8:45,250.0,12583.0,Pakistan,,U0033
536370,21035,SET/2 RED RETROSPOT TEA TOWELS ,18,12/1/2025 8:45,590.0,12583.0,Pakistan,,U0034
536370,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,24,12/1/2025 8:45,590.0,12583.0,Pakistan,,U0035
536370,22629,SPACEBOY LUNCH BOX ,24,12/1/2025 8:45,390.0,12583.0,Pakistan,,U0036
536370,22659,LUNCH BOX I LOVE LONDON,24,12/1/2025 8:45,390.0,12583.0,Pakistan,,U0037
536370,22631,CIRCUS PARADE LUNCH BOX ,24,12/1/2025 8:45,390.0,12583.0,Pakistan,,U0038
536370,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,12/1/2025 8:45,170.0,12583.0,Pakistan,,U0039
536370,21731,RED TOADSTOOL LED NIGHT LIGHT,24,12/1/2025 8:45,330.0,12583.0,Pakistan,,U0040
536370,22900, SET 2 TEA TOWELS I LOVE LONDON ,24,12/1/2025 8:45,590.0,12583.0,Pakistan,,U0041
536370,21913,VINTAGE SEASIDE JIGSAW PUZZLES,12,12/1/2025 8:45,750.0,12583.0,Pakistan,,U0042
536370,22540,MINI JIGSAW CIRCUS PARADE ,24,12/1/2025 8:45,84.0,12583.0,Pakistan,,U0043
536370,22544,MINI JIGSAW SPACEBOY,24,12/1/2025 8:45,84.0,12583.0,Pakistan,,U0044
536370,22492,MINI PAINT SET VINTAGE ,36,12/1/2025 8:45,130.0,12583.0,Pakistan,,U0045
536370,POST,POSTAGE,3,12/1/2025 8:45,3600.0,12583.0,Pakistan,,U0046
536371,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,80,12/1/2025 9:00,509.99999999999994,13748.0,Pakistan,,U0047
536372,22632,HAND WARMER RED POLKA DOT,6,12/1/2025 9:01,370.0,17850.0,Pakistan,,U0048
536372,22633,HAND WARMER UNION JACK,6,12/1/2025 9:01,370.0,17850.0,Pakistan,,U0049
536373,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2025 9:02,509.99999999999994,17850.0,Pakistan,,U0050
536373,71053,WHITE METAL LANTERN,6,12/1/2025 9:02,678.0,17850.0,Pakistan,,U0051
536373,84406B,CREAM CUPID HEARTS COAT HANGER,8,12/1/2025 9:02,550.0,17850.0,Pakistan,,U0052
536373,20679,EDWARDIAN PARASOL RED,6,12/1/2025 9:02,990.0,17850.0,Pakistan,,U0053
536373,37370,RETRO COFFEE MUGS ASSORTED,6,12/1/2025 9:02,212.0,17850.0,Pakistan,,U0054
536373,21871,SAVE THE PLANET MUG,6,12/1/2025 9:02,212.0,17850.0,Pakistan,,U0055
536373,21071,VINTAGE BILLBOARD DRINK ME MUG,6,12/1/2025 9:02,212.0,17850.0,Pakistan,,U0056
536373,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,12/1/2025 9:02,212.0,17850.0,Pakistan,,U0057
536373,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,12/1/2025 9:02,990.0,17850.0,Pakistan,,U0058
536373,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,12/1/2025 9:02,1390.0,17850.0,Pakistan,,U0059
536373,82482,WOODEN PICTURE FRAME WHITE FINISH,6,12/1/2025 9:02,420.0,17850.0,Pakistan,,U0060
536373,82494L,WOODEN FRAME ANTIQUE WHITE ,6,12/1/2025 9:02,509.99999999999994,17850.0,Pakistan,,U0061
536373,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/1/2025 9:02,678.0,17850.0,Pakistan,,U0062
536373,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/1/2025 9:02,678.0,17850.0,Pakistan,,U0063
536373,22752,SET 7 BABUSHKA NESTING BOXES,2,12/1/2025 9:02,1530.0,17850.0,Pakistan,,U0064
536373,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/1/2025 9:02,850.0,17850.0,Pakistan,,U0065
536374,21258,VICTORIAN SEWING BOX LARGE,32,12/1/2025 9:09,2190.0,15100.0,Pakistan,,U0066
